coord,interval,distance,elevation
"(48.420013, 10.786371)",53.711034,60019.640392000016,484
"(48.4199, 10.783403)",219.449314,60239.08970600001,489
"(48.419825, 10.782176)",90.957069,60330.04677500001,494
"(48.419674, 10.78038)",133.635618,60463.68239300001,495
"(48.4195, 10.778443)",144.288548,60607.97094100001,498
"(48.419417, 10.777641)",59.917346,60667.88828700001,498
"(48.419178, 10.775643)",149.864941,60817.75322800001,502
"(48.41894, 10.773748)",142.368561,60960.12178900001,500
"(48.418735, 10.771824)",143.845842,61103.967631000014,491
"(48.418629, 10.770848)",73.005575,61176.97320600002,491
"(48.418437, 10.768795)",153.047945,61330.021151000015,481
"(48.418349, 10.76781)",73.367889,61403.38904000002,492
"(48.418227, 10.766094)",127.398998,61530.78803800001,502
"(48.418122, 10.764337)",130.225896,61661.01393400002,508
"(48.418073, 10.762989)",99.658203,61760.672137000016,508
"(48.417963, 10.760235)",203.667818,61964.33995500002,521
"(48.417852, 10.757592)",195.496644,62159.83659900002,531
"(48.417772, 10.755522)",153.066656,62312.90325500002,538
"(48.417591, 10.750811)",348.350056,62661.25331100002,542
"(48.417492, 10.748685)",157.328387,62818.58169800002,546
"(48.417336, 10.744632)",299.6983,63118.27999800003,550
"(48.417277, 10.742879)",129.574372,63247.85437000003,548
"(48.417216, 10.741569)",96.943248,63344.79761800003,553
"(48.417182, 10.740666)",66.767623,63411.56524100003,553
"(48.417151, 10.739921)",55.104724,63466.66996500003,553
"(48.416968, 10.735519)",325.598149,63792.26811400003,556
"(48.4169, 10.733342)",160.887218,63953.15533200003,552
"(48.416825, 10.731093)",166.234161,64119.38949300003,524
"(48.416807, 10.729481)",119.017327,64238.40682000003,524
"(48.416803, 10.728498)",72.568053,64310.974873000036,522
"(48.416856, 10.726583)",141.491262,64452.46613500004,522
"(48.416869, 10.725463)",82.692806,64535.15894100004,522
"(48.416989, 10.722697)",204.625969,64739.78491000004,515
"(48.417214, 10.719538)",234.540236,64974.32514600004,497
"(48.417246, 10.719025)",38.037084,65012.36223000004,497
"(48.417381, 10.717102)",142.749553,65155.111783000044,490
"(48.417528, 10.71501)",155.296048,65310.40783100004,495
"(48.417884, 10.71032)",348.474392,65658.88222300004,522
"(48.418037, 10.708314)",149.057501,65807.93972400004,528
"(48.418147, 10.706641)",124.105067,65932.04479100004,528
"(48.418263, 10.704954)",125.200288,66057.24507900004,536
"(48.418345, 10.703804)",85.380938,66142.62601700005,539
"(48.418519, 10.701597)",164.064663,66306.69068000004,544
"(48.418609, 10.70038)",90.393841,66397.08452100004,544
"(48.418737, 10.698464)",142.151835,66539.23635600004,544
"(48.418801, 10.697529)",69.386697,66608.62305300003,529
"(48.418907, 10.695999)",113.55629,66722.17934300003,529
"(48.419072, 10.693671)",172.826608,66895.00595100003,547
"(48.419141, 10.692682)",73.408594,66968.41454500002,547
"(48.419326, 10.69072)",146.285598,67114.70014300002,543
"(48.419428, 10.689784)",70.018805,67184.71894800002,543
"(48.41951, 10.689033)",56.18241,67240.90135800002,528
"(48.41961, 10.688193)",62.996509,67303.89786700002,528
"(48.419748, 10.687059)",85.104642,67389.00250900003,524
"(48.419899, 10.685729)",99.603194,67488.60570300002,524
"(48.420005, 10.684546)",88.117914,67576.72361700003,527
"(48.420057, 10.683838)",52.581481,67629.30509800003,527
"(48.42011, 10.682604)",91.280602,67720.58570000003,537
"(48.420123, 10.681456)",84.754078,67805.33977800002,537
"(48.420084, 10.680436)",75.418058,67880.75783600002,538
"(48.420022, 10.679419)",75.387895,67956.14573100003,538
"(48.419841, 10.67777)",123.378004,68079.52373500002,531
"(48.419661, 10.676531)",93.625385,68173.14912000003,523
"(48.419437, 10.675409)",86.489666,68259.63878600002,523
"(48.419228, 10.674496)",71.292266,68330.93105200003,519
"(48.418918, 10.673376)",89.578434,68420.50948600002,519
"(48.418685, 10.672616)",61.798771,68482.30825700003,543
"(48.418408, 10.671818)",66.478189,68548.78644600003,543
"(48.418167, 10.671153)",55.931763,68604.71820900003,543
"(48.417752, 10.670133)",88.318686,68693.03689500003,531
